[50/100][50/93]	Loss_D: 0.0899	Loss_G: 5.2255	D(x): 0.9465	D(G(z)): 0.0247 / 0.0078
[51/100][0/93]	Loss_D: 0.0292	Loss_G: 4.9004	D(x): 0.9843	D(G(z)): 0.0131 / 0.0108
[51/100][50/93]	Loss_D: 0.0812	Loss_G: 4.6791	D(x): 0.9578	D(G(z)): 0.0336 / 0.0165
[52/100][0/93]	Loss_D: 0.0177	Loss_G: 5.5104	D(x): 0.9912	D(G(z)): 0.0087 / 0.0081
[52/100][50/93]	Loss_D: 0.0245	Loss_G: 5.3833	D(x): 0.9855	D(G(z)): 0.0096 / 0.0081
[53/100][0/93]	Loss_D: 0.0124	Loss_G: 6.6876	D(x): 0.9907	D(G(z)): 0.0030 / 0.0029
[53/100][50/93]	Loss_D: 0.0168	Loss_G: 6.1289	D(x): 0.9934	D(G(z)): 0.0101 / 0.0037
[54/100][0/93]	Loss_D: 2.4811	Loss_G: 38.5508	D(x): 0.9999	D(G(z)): 0.7595 / 0.0000
[54/100][50/93]	Loss_D: 0.1412	Loss_G: 4.3697	D(x): 0.9376	D(G(z)): 0.0564 / 0.0230
[55/100][0/93]	Loss_D: 0.4919	Loss_G: 4.6019	D(x): 0.9643	D(G(z)): 0.2930 / 0.0367
[55/100][50/93]	Loss_D: 0.1135	Loss_G: 5.2140	D(x): 0.9697	D(G(z)): 0.0738 / 0.0147
[56/100][0/93]	Loss_D: 0.1503	Loss_G: 6.3235	D(x): 0.9130	D(G(z)): 0.0057 / 0.0114
[56/100][50/93]	Loss_D: 0.0405	Loss_G: 5.6838	D(x): 0.9880	D(G(z)): 0.0271 / 0.0053
[57/100][0/93]	Loss_D: 0.0323	Loss_G: 5.9770	D(x): 0.9743	D(G(z)): 0.0044 / 0.0050
[57/100][50/93]	Loss_D: 0.0166	Loss_G: 6.4953	D(x): 0.9895	D(G(z)): 0.0057 / 0.0033
[58/100][0/93]	Loss_D: 0.0214	Loss_G: 6.9194	D(x): 0.9836	D(G(z)): 0.0019 / 0.0025
[58/100][50/93]	Loss_D: 0.0198	Loss_G: 5.8551	D(x): 0.9895	D(G(z)): 0.0089 / 0.0057
[59/100][0/93]	Loss_D: 0.0051	Loss_G: 6.4740	D(x): 0.9995	D(G(z)): 0.0045 / 0.0033
[59/100][50/93]	Loss_D: 0.0029	Loss_G: 7.4713	D(x): 0.9991	D(G(z)): 0.0020 / 0.0009
[60/100][0/93]	Loss_D: 0.0065	Loss_G: 7.0935	D(x): 0.9992	D(G(z)): 0.0056 / 0.0030
[60/100][50/93]	Loss_D: 0.0041	Loss_G: 7.5238	D(x): 0.9969	D(G(z)): 0.0009 / 0.0012
[61/100][0/93]	Loss_D: 0.0108	Loss_G: 6.5277	D(x): 0.9997	D(G(z)): 0.0103 / 0.0038
[61/100][50/93]	Loss_D: 0.2363	Loss_G: 6.3381	D(x): 0.8623	D(G(z)): 0.0320 / 0.0093
[62/100][0/93]	Loss_D: 0.0758	Loss_G: 6.3649	D(x): 0.9865	D(G(z)): 0.0532 / 0.0048
[62/100][50/93]	Loss_D: 0.1395	Loss_G: 5.0664	D(x): 0.9571	D(G(z)): 0.0783 / 0.0119
[63/100][0/93]	Loss_D: 0.0881	Loss_G: 4.3892	D(x): 0.9787	D(G(z)): 0.0604 / 0.0240
[63/100][50/93]	Loss_D: 0.0263	Loss_G: 5.9498	D(x): 0.9830	D(G(z)): 0.0089 / 0.0050
[64/100][0/93]	Loss_D: 0.0591	Loss_G: 6.8045	D(x): 0.9993	D(G(z)): 0.0510 / 0.0018
[64/100][50/93]	Loss_D: 0.0517	Loss_G: 4.6125	D(x): 0.9762	D(G(z)): 0.0263 / 0.0152
[65/100][0/93]	Loss_D: 0.1753	Loss_G: 1.4563	D(x): 0.8638	D(G(z)): 0.0053 / 0.3637
[65/100][50/93]	Loss_D: 0.0405	Loss_G: 5.7566	D(x): 0.9737	D(G(z)): 0.0116 / 0.0051
[66/100][0/93]	Loss_D: 0.0856	Loss_G: 6.5165	D(x): 0.9837	D(G(z)): 0.0572 / 0.0056
[66/100][50/93]	Loss_D: 0.0210	Loss_G: 5.7438	D(x): 0.9919	D(G(z)): 0.0125 / 0.0064
[67/100][0/93]	Loss_D: 0.0414	Loss_G: 6.7430	D(x): 0.9995	D(G(z)): 0.0388 / 0.0024
[67/100][50/93]	Loss_D: 0.0184	Loss_G: 6.6195	D(x): 0.9941	D(G(z)): 0.0122 / 0.0023
[68/100][0/93]	Loss_D: 0.0015	Loss_G: 8.0079	D(x): 0.9990	D(G(z)): 0.0005 / 0.0007
[68/100][50/93]	Loss_D: 0.0044	Loss_G: 7.7829	D(x): 0.9964	D(G(z)): 0.0009 / 0.0010
[69/100][0/93]	Loss_D: 0.0070	Loss_G: 5.7246	D(x): 0.9994	D(G(z)): 0.0063 / 0.0089
[69/100][50/93]	Loss_D: 0.0040	Loss_G: 7.3178	D(x): 0.9974	D(G(z)): 0.0015 / 0.0015
[70/100][0/93]	Loss_D: 0.0021	Loss_G: 7.5735	D(x): 0.9990	D(G(z)): 0.0010 / 0.0014
[70/100][50/93]	Loss_D: 0.0032	Loss_G: 6.8751	D(x): 0.9989	D(G(z)): 0.0021 / 0.0017
[71/100][0/93]	Loss_D: 0.0067	Loss_G: 5.4784	D(x): 1.0000	D(G(z)): 0.0066 / 0.0148
[71/100][50/93]	Loss_D: 0.0018	Loss_G: 7.7882	D(x): 0.9991	D(G(z)): 0.0008 / 0.0008
[72/100][0/93]	Loss_D: 0.0007	Loss_G: 8.0178	D(x): 0.9997	D(G(z)): 0.0004 / 0.0005
[72/100][50/93]	Loss_D: 0.0053	Loss_G: 8.2763	D(x): 0.9998	D(G(z)): 0.0051 / 0.0004
